Time(s),HeartRate(1/min),Glucose-BloodConcentration(mg/dL),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),AchievedExerciseLevel
31.02,72.601404,93.234212,15.873016,114.106478,75.467950,0,0
32.02,72.567586,93.250938,15.873016,113.946467,75.340064,0,0
33.02,72.605909,93.268332,15.873016,113.932779,75.322863,0,0
34.02,72.662676,93.285380,15.873016,113.933826,75.308304,0,0
35.02,72.677443,93.301801,15.873016,113.929484,75.302781,0,0
36.02,72.677225,93.317941,15.873016,113.928873,75.303423,0,0
37.02,72.688735,93.334485,15.873016,113.935608,75.304304,0,0
38.02,72.721540,93.351670,15.873016,113.951781,75.303779,0,0
39.02,72.702555,93.368590,15.873016,113.953404,75.310430,0,0
40.02,72.690803,93.384802,15.957447,113.959148,75.317212,0,0
41.02,72.701816,93.400524,15.957447,113.969299,75.319579,0,0
42.02,72.717375,93.416499,15.957447,113.977266,75.319307,0,0
43.02,72.678605,93.433182,15.957447,113.975581,75.330093,0,0
44.02,72.677644,93.449849,15.957447,113.980167,75.333014,0,0
45.02,72.698870,93.465864,15.957447,113.987179,75.330550,0,0
46.02,72.696881,93.481299,15.957447,113.985481,75.330113,0,0
47.02,72.676788,93.496820,15.957447,113.980717,75.333404,0,0
48.02,72.682783,93.513006,15.957447,113.984284,75.333390,0,0
49.02,72.701146,93.529458,15.957447,113.986198,75.328707,0,0
50.02,72.687415,93.545365,15.957447,113.979766,75.328982,0,0
51.02,72.671865,93.560620,15.957447,113.975850,75.331210,0,0
52.02,72.676752,93.575760,15.957447,113.977490,75.330374,0,0
53.02,72.702329,93.591468,15.957447,113.978191,75.322209,0,0
54.02,72.685056,93.607693,15.957447,113.972482,75.323742,0,0
55.02,72.679025,93.623497,15.957447,113.971643,75.324640,0,0
56.02,72.697197,93.638616,15.957447,113.975771,75.321002,0,0
57.02,72.715060,93.653448,15.957447,113.977307,75.315933,0,0
58.02,72.701223,93.668709,15.957447,113.971186,75.316164,0,0
59.02,72.692356,93.684642,15.957447,113.970477,75.317516,0,0
60.02,72.717855,93.700356,15.957447,113.975551,75.312149,0,0
61.02,72.715354,93.715410,15.957447,113.971863,75.310280,0,0
62.02,72.697276,93.730012,15.957447,113.966885,75.312434,0,0
63.02,72.691495,93.744868,15.957447,113.966875,75.313712,0,0
64.02,72.725306,93.760454,15.957447,113.973059,75.305988,0,0
65.02,72.710041,93.776097,15.957447,113.967271,75.306905,0,0
66.02,72.695114,93.791122,15.957447,113.964632,75.309545,0,0
67.02,72.701522,93.805561,15.957447,113.967566,75.308882,0,0
68.02,72.726364,93.820094,15.957447,113.972697,75.303827,0,0
69.02,72.702941,93.835321,15.957447,113.964067,75.305215,0,0
70.02,72.697718,93.850860,15.957447,113.964450,75.306653,0,0
71.02,72.716793,93.865861,15.957447,113.969450,75.303323,0,0
72.02,72.729952,93.880227,15.957447,113.970400,75.299465,0,0
73.02,72.713748,93.894501,15.957447,113.964683,75.300812,0,0
74.02,72.706446,93.909344,15.957447,113.965548,75.302933,0,0
75.02,72.730832,93.924728,15.957447,113.970549,75.298025,0,0
76.02,72.724204,93.939738,15.957447,113.966281,75.297279,0,0
77.02,72.705350,93.954085,15.957447,113.961809,75.300160,0,0
78.02,72.700969,93.968133,15.957447,113.962524,75.301612,0,0
79.02,72.720817,93.982604,15.957447,113.967701,75.298214,0,0
80.02,72.715042,93.997784,15.957447,113.962518,75.296426,0,0
81.02,72.701008,94.012791,15.957447,113.960478,75.299297,0,0
82.02,72.709307,94.027131,15.957447,113.963930,75.298499,0,0
83.02,72.733191,94.041016,15.957447,113.968753,75.293693,0,0
84.02,72.724921,94.055174,15.957447,113.964190,75.293339,0,0
85.02,72.702609,94.070067,15.957447,113.960971,75.297802,0,0
86.02,72.723249,94.085029,15.957447,113.966297,75.294287,0,0
87.02,72.732404,94.099387,15.957447,113.966251,75.291183,0,0
88.02,72.714938,94.113173,15.957447,113.960693,75.293105,0,0
89.02,72.701583,94.127042,15.957447,113.958939,75.295965,0,0
90.02,72.734249,94.141586,15.957447,113.967206,75.290268,0,0
91.02,72.724516,94.156480,15.957447,113.962375,75.290244,0,0
92.02,72.705727,94.170862,15.957447,113.958338,75.293444,0,0
93.02,72.703338,94.184590,15.957447,113.959670,75.294721,0,0
94.02,72.724746,94.198207,15.957447,113.965110,75.291060,0,0
95.02,72.714043,94.212401,15.957447,113.959089,75.290406,0,0
96.02,72.701465,94.227161,15.957447,113.957616,75.293206,0,0
97.02,72.711993,94.241545,15.957447,113.961508,75.292024,0,0
98.02,72.734515,94.255263,15.957447,113.965805,75.287379,0,0
99.02,72.723476,94.268694,15.957447,113.960743,75.287647,0,0
100.02,72.704892,94.282539,15.957447,113.956925,75.290934,0,0
101.02,72.725697,94.297082,15.957447,113.964076,75.288262,0,0
102.02,72.731004,94.311472,15.957447,113.963026,75.285794,0,0
103.02,72.712702,94.325214,15.957447,113.957663,75.288105,0,0
104.02,72.700963,94.338488,15.957447,113.956475,75.290818,0,0
105.02,72.712646,94.352012,15.957447,113.960571,75.289407,0,0
106.02,72.722042,94.366283,15.957447,113.959281,75.285395,0,0
107.02,72.703746,94.380658,15.957447,113.955685,75.288739,0,0
108.02,72.703547,94.394421,15.957447,113.957588,75.289712,0,0
109.02,72.726280,94.407596,15.957447,113.963175,75.285762,0,0
110.02,72.729698,94.420860,15.957447,113.961639,75.283604,0,0
111.02,72.700231,94.434804,15.957447,113.955497,75.288696,0,0
112.02,72.713073,94.449098,15.957447,113.959795,75.287050,0,0
113.02,72.733539,94.462885,15.957447,113.963371,75.282639,0,0
114.02,72.720337,94.476036,15.957447,113.957988,75.283416,0,0
115.02,72.702408,94.489073,15.957447,113.954620,75.286793,0,0
116.02,72.726583,94.502661,15.957447,113.962412,75.283513,0,0
117.02,72.728143,94.516829,15.957447,113.960406,75.281667,0,0
118.02,72.709271,94.530651,15.957447,113.955297,75.284306,0,0
119.02,72.699348,94.543801,15.957447,113.954696,75.286810,0,0
120.02,72.713345,94.556643,15.957447,113.959194,75.284933,0,0
121.02,72.732496,94.569904,15.957447,113.962348,75.280689,0,0
122.02,72.700933,94.583883,15.957447,113.953752,75.285091,0,0
123.02,72.703000,94.597715,15.957447,113.956193,75.285707,0,0
124.02,72.726645,94.610889,15.957447,113.961809,75.281519,0,0
125.02,72.726381,94.623606,15.957447,113.959357,75.279989,0,0
126.02,72.707312,94.636575,15.957447,113.954401,75.282785,0,0
127.02,72.713483,94.650273,15.957447,113.958811,75.283086,0,0
128.02,72.731155,94.664088,15.957447,113.961519,75.279053,0,0
129.02,72.716301,94.677314,15.957447,113.956022,75.280299,0,0
130.02,72.699302,94.689955,15.957447,113.953147,75.283709,0,0
131.02,72.702501,94.702663,15.957447,113.955858,75.284155,0,0
132.02,72.724337,94.716046,15.957447,113.958591,75.278707,0,0
133.02,72.705108,94.729813,15.957447,113.953815,75.281675,0,0
134.02,72.697110,94.743076,15.957447,113.953845,75.283983,0,0
135.02,72.713341,94.755684,15.957447,113.958759,75.281693,0,0
136.02,72.729393,94.768184,15.957447,113.961010,75.277913,0,0
137.02,72.697368,94.781246,15.957447,113.952920,75.282830,0,0
138.02,72.701700,94.794889,15.873016,113.955900,75.283109,0,0
139.02,72.726116,94.808185,15.873016,113.961541,75.278746,0,0
140.02,72.723454,94.820825,15.873016,113.958535,75.277687,0,0
141.02,72.704479,94.833163,15.873016,113.953968,75.280737,0,0
142.02,72.697202,94.845900,15.873016,113.954306,75.283055,0,0
143.02,72.730216,94.859353,15.873016,113.961964,75.277194,0,0
144.02,72.714665,94.872696,15.873016,113.956780,75.278963,0,0
145.02,72.698078,94.885392,15.873016,113.954542,75.282767,0,0
146.02,72.702081,94.897616,15.873016,113.957917,75.283524,0,0
147.02,72.725950,94.910091,15.873016,113.963968,75.279732,0,0
148.02,72.702835,94.923313,15.873016,113.957227,75.283024,0,0
149.02,72.694734,94.936670,15.873016,113.957953,75.286007,0,0
150.02,72.710750,94.949427,15.873016,113.963487,75.284393,0,0
151.02,72.726231,94.961609,15.873016,113.966268,75.281355,0,0
152.02,72.710057,94.973874,15.873016,113.961325,75.283612,0,0
153.02,72.696505,94.986805,15.873016,113.962730,75.288883,0,0
154.02,72.720054,95.000121,15.873016,113.968824,75.285322,0,0
155.02,72.716517,95.012955,15.873016,113.966234,75.285029,0,0
156.02,72.696657,95.025148,15.873016,113.962019,75.288789,0,0
157.02,72.688535,95.037214,15.873016,113.962641,75.291749,0,0
158.02,72.720216,95.049826,15.873016,113.970682,75.286905,0,0
159.02,72.704235,95.063045,15.873016,113.965582,75.288987,0,0
160.02,72.687336,95.075935,15.873016,113.963338,75.292981,0,0
161.02,72.691144,95.088152,15.873016,113.966639,75.293833,0,0
162.02,72.714953,95.100061,15.873016,113.972568,75.290049,0,0
163.02,72.711711,95.112377,15.873016,113.969828,75.289515,0,0
164.02,72.684292,95.125407,15.873016,113.965942,75.295745,0,0
165.02,72.700618,95.138315,15.873016,113.971217,75.293835,0,0
166.02,72.716500,95.150577,15.873016,113.973747,75.290459,0,0
167.02,72.700774,95.162379,15.873016,113.968549,75.292326,0,0
168.02,72.684105,95.174415,15.873016,113.966214,75.296119,0,0
169.02,72.712116,95.187174,15.873016,113.975295,75.292840,0,0
170.02,72.709063,95.200081,15.873016,113.972502,75.292149,0,0
171.02,72.689659,95.212403,15.873016,113.968086,75.295513,0,0
172.02,72.681951,95.224130,15.873016,113.968520,75.298101,0,0
173.02,72.698399,95.235915,15.873016,113.973756,75.296076,0,0
174.02,72.698784,95.248371,15.873016,113.971038,75.294366,0,0
175.02,72.682205,95.261229,15.873016,113.968679,75.298070,0,0
176.02,72.686290,95.273592,15.873016,113.971878,75.298665,0,0
177.02,72.710352,95.285305,15.873016,113.977724,75.294653,0,0
178.02,72.707369,95.296900,15.873016,113.974922,75.293901,0,0
179.02,72.680353,95.309036,15.873016,113.970919,75.299750,0,0
180.02,72.696831,95.321764,15.873016,113.976148,75.297689,0,0
181.02,72.712868,95.334170,15.873016,113.978648,75.294177,0,0
182.02,72.697285,95.345923,15.873016,113.973425,75.295914,0,0
183.02,72.680727,95.357362,15.873016,113.971062,75.299592,0,0
184.02,72.684823,95.369185,15.873016,113.974258,75.300166,0,0
185.02,72.705928,95.381730,15.873016,113.977306,75.295376,0,0
186.02,72.686589,95.394181,15.873016,113.972882,75.298671,0,0
187.02,72.678922,95.405980,15.873016,113.973304,75.301205,0,0
188.02,72.695394,95.417302,15.873016,113.978535,75.299142,0,0
189.02,72.711434,95.428866,15.873016,113.981041,75.295630,0,0
190.02,72.679290,95.441165,15.873016,113.973465,75.301044,0,0
191.02,72.683375,95.453616,15.873016,113.976663,75.301624,0,0
192.02,72.707432,95.465476,15.873016,113.982514,75.297608,0,0
193.02,72.704467,95.476758,15.873016,113.979725,75.296849,0,0
194.02,72.685121,95.488101,15.873016,113.975307,75.300150,0,0
