Time(s),HeartRate(1/min),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),MeanArterialPressure(mmHg),OxygenSaturation,CoreTemperature(degC),CardiacOutput(L/min),HeartStrokeVolume(mL),TidalVolume(mL),ArterialBloodPH,AchievedExerciseLevel,Glucose-BloodConcentration(mg/dL)
3139.14,94.03,14.56,122.9,88.9,106.5,0.980,36.44,6.36,67.6,537.68,7.43,0,73.67,0
3140.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,73.69,0
3141.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,73.70,0
3142.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,73.71,0
3143.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,73.73,0
3144.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.53,7.43,0,73.74,0
3145.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.53,7.43,0,73.75,0
3146.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.53,7.43,0,73.77,0
3147.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.53,7.43,0,73.78,0
3148.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.49,7.43,0,73.79,0
3149.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.49,7.43,0,73.81,0
3150.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.49,7.43,0,73.82,0
3151.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.49,7.43,0,73.83,0
3152.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.85,0
3153.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.86,0
3154.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.87,0
3155.14,94.04,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.89,0
3156.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.90,0
3157.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.45,7.43,0,73.91,0
3158.14,94.04,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.45,7.43,0,73.93,0
3159.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.45,7.43,0,73.94,0
3160.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.45,7.43,0,73.95,0
3161.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.97,0
3162.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.98,0
3163.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,73.99,0
3164.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,74.01,0
3165.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.48,7.43,0,74.02,0
3166.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.48,7.43,0,74.03,0
3167.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.48,7.43,0,74.05,0
3168.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.48,7.43,0,74.06,0
3169.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.51,7.44,0,74.07,0
3170.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.51,7.43,0,74.09,0
3171.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.51,7.43,0,74.10,0
3172.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.51,7.44,0,74.11,0
3173.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.56,7.44,0,74.12,0
3174.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.56,7.44,0,74.14,0
3175.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.56,7.44,0,74.15,0
3176.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.56,7.44,0,74.16,0
3177.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.62,7.44,0,74.18,0
3178.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.62,7.44,0,74.19,0
3179.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.62,7.44,0,74.20,0
3180.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.62,7.44,0,74.21,0
3181.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.70,7.44,0,74.23,0
3182.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.70,7.44,0,74.24,0
3183.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.70,7.44,0,74.25,0
3184.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.70,7.44,0,74.26,0
3185.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.78,7.44,0,74.28,0
3186.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.78,7.44,0,74.29,0
3187.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.78,7.44,0,74.30,0
3188.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.78,7.44,0,74.31,0
3189.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.88,7.44,0,74.33,0
3190.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.88,7.44,0,74.34,0
3191.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.88,7.44,0,74.35,0
3192.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.88,7.44,0,74.36,0
3193.14,93.97,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.88,7.44,0,74.37,0
3194.14,93.97,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.98,7.44,0,74.39,0
3195.14,94.00,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,537.98,7.44,0,74.40,0
3196.14,94.00,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,537.98,7.44,0,74.41,0
3197.14,93.97,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.98,7.44,0,74.42,0
3198.14,93.97,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.09,7.44,0,74.43,0
3199.14,93.99,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.09,7.44,0,74.45,0
3200.14,93.99,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.09,7.44,0,74.46,0
3201.14,93.97,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.09,7.44,0,74.47,0
3202.14,93.96,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.21,7.44,0,74.48,0
3203.14,93.98,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.8,538.21,7.44,0,74.49,0
3204.14,93.99,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.21,7.44,0,74.50,0
3205.14,93.97,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.21,7.44,0,74.52,0
3206.14,93.95,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.8,538.34,7.44,0,74.53,0
3207.14,93.99,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.34,7.44,0,74.54,0
3208.14,93.99,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.34,7.44,0,74.55,0
3209.14,93.96,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.34,7.44,0,74.56,0
3210.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.28,7.44,0,74.57,0
3211.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.28,7.44,0,74.58,0
3212.14,93.99,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.28,7.44,0,74.59,0
3213.14,93.96,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.28,7.44,0,74.61,0
3214.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.75,7.44,0,74.62,0
3215.14,93.96,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.75,7.44,0,74.63,0
3216.14,93.99,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.75,7.44,0,74.64,0
3217.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.75,7.44,0,74.65,0
3218.14,93.94,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.88,7.44,0,74.66,0
3219.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.88,7.44,0,74.67,0
3220.14,93.98,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.88,7.44,0,74.68,0
3221.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.88,7.44,0,74.69,0
3222.14,93.94,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.88,7.44,0,74.70,0
3223.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.01,7.44,0,74.71,0
3224.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.01,7.44,0,74.72,0
3225.14,93.96,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.01,7.44,0,74.73,0
3226.14,93.94,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.01,7.44,0,74.75,0
3227.14,93.94,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.14,7.44,0,74.76,0
3228.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.14,7.44,0,74.77,0
3229.14,93.96,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.14,7.44,0,74.78,0
